dimension,image,elo,comparisons,url
atrakcyjna,2897.jpg,1670.074558219185,20,https://langtorch.org/static/gandalf/2897.jpg
atrakcyjna,975.jpg,1669.705816682143,20,https://langtorch.org/static/gandalf/975.jpg
atrakcyjna,1344.jpg,1669.428247749802,50,https://langtorch.org/static/gandalf/1344.jpg
atrakcyjna,1560.jpg,1669.136689654974,30,https://langtorch.org/static/gandalf/1560.jpg
atrakcyjna,2918.jpg,1668.7180758431855,30,https://langtorch.org/static/gandalf/2918.jpg
atrakcyjna,2518.jpg,1668.2945483740784,20,https://langtorch.org/static/gandalf/2518.jpg
atrakcyjna,1186.jpg,1668.2101775752215,50,https://langtorch.org/static/gandalf/1186.jpg
atrakcyjna,2600.jpg,1668.184482044558,20,https://langtorch.org/static/gandalf/2600.jpg
atrakcyjna,1153.jpg,1668.0394111736873,30,https://langtorch.org/static/gandalf/1153.jpg
atrakcyjna,222.jpg,1668.0051771978026,30,https://langtorch.org/static/gandalf/222.jpg
atrakcyjna,89.jpg,1667.8578040778907,20,https://langtorch.org/static/gandalf/89.jpg
atrakcyjna,1285.jpg,1667.5345001820228,20,https://langtorch.org/static/gandalf/1285.jpg
atrakcyjna,2158.jpg,1667.1633616445279,20,https://langtorch.org/static/gandalf/2158.jpg
atrakcyjna,958.jpg,1667.1370880207137,20,https://langtorch.org/static/gandalf/958.jpg
atrakcyjna,920.jpg,1666.6921985832748,20,https://langtorch.org/static/gandalf/920.jpg
atrakcyjna,1874.jpg,1666.2241880799143,30,https://langtorch.org/static/gandalf/1874.jpg
atrakcyjna,2064.jpg,1666.0003973738205,30,https://langtorch.org/static/gandalf/2064.jpg
atrakcyjna,1183.jpg,1665.846536312041,50,https://langtorch.org/static/gandalf/1183.jpg
atrakcyjna,515.jpg,1665.3714516642845,30,https://langtorch.org/static/gandalf/515.jpg
atrakcyjna,1993.jpg,1664.870328614776,10,https://langtorch.org/static/gandalf/1993.jpg
atrakcyjna,1465.jpg,1664.6206785770273,50,https://langtorch.org/static/gandalf/1465.jpg
atrakcyjna,740.jpg,1664.331835622547,10,https://langtorch.org/static/gandalf/740.jpg
atrakcyjna,1473.jpg,1664.1214991880518,40,https://langtorch.org/static/gandalf/1473.jpg
atrakcyjna,1875.jpg,1663.2067681295887,20,https://langtorch.org/static/gandalf/1875.jpg
atrakcyjna,1538.jpg,1663.1558100367095,40,https://langtorch.org/static/gandalf/1538.jpg
atrakcyjna,1973.jpg,1662.9792126712737,30,https://langtorch.org/static/gandalf/1973.jpg
atrakcyjna,2378.jpg,1662.920340276937,30,https://langtorch.org/static/gandalf/2378.jpg
atrakcyjna,902.jpg,1662.767979533079,30,https://langtorch.org/static/gandalf/902.jpg
atrakcyjna,2515.jpg,1662.3419145418884,20,https://langtorch.org/static/gandalf/2515.jpg
atrakcyjna,2845.jpg,1662.1904685484149,20,https://langtorch.org/static/gandalf/2845.jpg
atrakcyjna,26.jpg,1662.173241664755,10,https://langtorch.org/static/gandalf/26.jpg
atrakcyjna,2649.jpg,1662.0347318737388,30,https://langtorch.org/static/gandalf/2649.jpg
atrakcyjna,1931.jpg,1661.6203819582884,20,https://langtorch.org/static/gandalf/1931.jpg
atrakcyjna,1228.jpg,1661.4278792459008,10,https://langtorch.org/static/gandalf/1228.jpg
atrakcyjna,655.jpg,1661.224177757545,10,https://langtorch.org/static/gandalf/655.jpg
atrakcyjna,940.jpg,1660.802845194188,20,https://langtorch.org/static/gandalf/940.jpg
atrakcyjna,1816.jpg,1660.790539248934,20,https://langtorch.org/static/gandalf/1816.jpg
atrakcyjna,950.jpg,1659.7957642959263,40,https://langtorch.org/static/gandalf/950.jpg
atrakcyjna,1035.jpg,1659.4713666521197,20,https://langtorch.org/static/gandalf/1035.jpg
atrakcyjna,2745.jpg,1659.4325434663688,30,https://langtorch.org/static/gandalf/2745.jpg
atrakcyjna,1901.jpg,1659.2745092971525,10,https://langtorch.org/static/gandalf/1901.jpg
atrakcyjna,1386.jpg,1659.131313095251,10,https://langtorch.org/static/gandalf/1386.jpg
atrakcyjna,1885.jpg,1659.1133175011744,30,https://langtorch.org/static/gandalf/1885.jpg
