POLISHword,Ciepło_M,Kompetencja_M,Valence_M,arousal_M,dominance_M,origin_M,significance_M,concretness_M,imegability_M,ageOfAquisition_M,AUTOMATICITYmean,NumberofLetters,Kazojć2011frequency
lunch,0.9530528191273931,0.757299433659368,0.8371793364480757,-0.5183800143371212,0.38833112236194617,0.24494377670728457,-0.05876463959407697,-0.5226521478220303,0.4489016440231492,0.6264833865146127,0.9547927225091307,-0.710516839489168,0.9021520336907849
napój,0.3134381083816908,-0.045057811417773846,0.8371793364480757,-1.037051997216508,0.13465296473934538,-0.2289182948664006,-0.1506582858680555,-0.8038905987098943,0.8054581846889044,-1.2809908719933454,-0.2568343676337361,-0.710516839489168,0.5998465276020135
passa,0.9459345041340396,1.135040914329107,0.8371793364480757,0.42876012831219434,0.8111280517329491,-0.8274809115910563,0.6993579421662449,1.3171160517360798,-2.387343565818082,1.1637359524627005,0.4758887343103692,-0.710516839489168,-1.050253028061619
płaca,0.31559174089386227,1.3715340627627044,0.8371793364480757,0.32198825606018183,0.4094709688304968,1.6370090460456683,1.5953209933375352,-0.15627688697151343,-0.6726968990172714,0.8495797910184676,0.2154846907272925,-0.710516839489168,-0.8313465313300773
szybkość,0.7680596763083951,0.8389046190523277,0.8371793364480757,1.1503907131878626,1.3819039063838026,-0.5281996032287285,0.44665041491280444,0.9069766441912781,-0.4424897076412376,-0.5670823775810099,0.4309914854167353,0.5228715332011696,0.8216537076587687
orkiestra,0.9622473093271421,1.18082578689994,0.8371793364480757,0.27090343787064114,1.0648062093555508,0.4195245399186419,-0.3344455784160126,-0.6749896420529568,0.9513222240521675,-0.2435925910504204,0.7799927668165827,0.9340009907646155,0.6420414093297839
wydajność,0.5510812007070136,2.0212643992559576,0.8371793364480757,0.1806996147611825,1.4996830509942949,1.342308574035819,1.227746408241621,1.188215095079142,-1.9821656786979065,0.8161153303428892,0.5046229736022947,0.9340009907646155,-0.31756082713695155
żartowniś,1.2201173960063243,-0.24098735719950642,0.8371793364480757,0.7670244649726639,0.5785897405788979,-1.3512232012251295,-0.4493126362584857,0.44996416149849905,-0.26421143730836033,-0.06511546744733639,0.8057338561822661,0.9340009907646155,-0.7285356194618606
wrażliwość,1.5525335801511795,1.0974120514470098,0.8371793364480757,0.4513110840895585,-0.79550027987686,-2.6231687617650215,2.4912840445088253,2.0084939101687453,-1.3338810593056243,0.10220683593055412,2.6956087196116285,1.3451304483280615,0.2977730300044825
perfekcjonista,-0.046081782578921315,1.3472506818625025,0.8371793364480757,0.518963951421653,1.466463292258003,1.9907514088208613,1.388560289221084,1.645227577771921,-0.9449102876702558,1.0615213752971302,1.0391995504291622,2.989648278581845,-1.850829114251385
rytm,0.9988939202661512,1.0655495074541734,0.8529213278739695,-0.225217589231381,0.7477085123272991,0.1950635586468966,0.3777301802073206,0.8718218378302949,-0.4911110540956591,-0.1097347483481074,0.9601803923763665,-1.121646297052614,1.0550469156117732
dusza,1.2002143371636704,1.074062646735282,0.8529213278739695,-0.4958290585597565,0.8322678982014997,-1.6006242915270694,2.3534435750978573,2.254577554695626,-1.4797450986688883,-0.4109148944283119,1.7150528037746644,-0.710516839489168,1.362862178714243
sanki,0.3410403084980187,0.05071300842879761,0.8529213278739695,-0.47327810278239185,-0.2247244252260066,-0.6279600393495044,-0.8858074560598832,-0.9913828993018037,1.113393378900238,-1.3813842540200805,0.9069023236892543,-0.710516839489168,-0.06061241999099959
emocja,-0.4121565788444358,0.8418715540537609,0.8529213278739695,1.5788588729577908,0.21921235061354596,-2.5982286527348277,1.4804539354950625,2.0788035228907114,-1.6904375999713794,0.47031590336191464,2.9386524936225,-0.2993873819257222,-0.6484228308460984
jagoda,1.097052681025038,0.5598114657967165,0.8529213278739695,-1.0596029529938726,-0.16130488582035662,-0.15409796777581922,-0.8858074560598832,-0.9679463617278151,1.0141661412381515,-0.6897854000581304,-0.2370795781205373,-0.2993873819257222,0.0648521859723114
ozdoba,0.9973702618901941,0.5333826781734682,0.8529213278739695,-0.8115424394428619,0.38833112236194617,-0.4034990580777591,-0.2884987552790233,-0.3585963848041098,0.270623373690272,-0.845952883210829,0.616566780843755,-0.2993873819257222,-0.3886871483924613
kurczak,0.32543691809236597,-0.3646578917712649,0.8529213278739695,-0.47327810278239185,-0.549587780140665,0.3447042128280605,-0.6790467519434316,-0.9454664175241906,1.113393378900238,-1.2698360517681528,-0.8847972221593623,0.11174207563772375,-0.27133442610434966
rysunek,0.8758191014494803,0.8818889944388864,0.8529213278739695,-0.8791953067749554,0.3671912758933965,-0.17903807680601264,-0.5412062825324637,-0.6749896420529568,0.7730439537192902,-1.6714095798750914,1.2008296464462445,0.11174207563772375,0.6453682893628515
