,0,1,2,3,4,5
320,16,vector,trustworthy,3,"('16', 'vector', 'trustworthy', '3')",67.69
321,35,vector,trustworthy,2,"('35', 'vector', 'trustworthy', '2')",54.29
322,32,flow,trustworthy,4,"('32', 'flow', 'trustworthy', '4')",50.54
323,24,vector,trustworthy,1,"('24', 'vector', 'trustworthy', '1')",70.51
324,10,flow,trustworthy,2,"('10', 'flow', 'trustworthy', '2')",57.64
325,1,flow,trustworthy,3,"('1', 'flow', 'trustworthy', '3')",71.45
326,13,vector,trustworthy,0,"('13', 'vector', 'trustworthy', '0')",70.91
327,20,flow,trustworthy,2,"('20', 'flow', 'trustworthy', '2')",51.88
328,36,vector,trustworthy,3,"('36', 'vector', 'trustworthy', '3')",44.24
329,18,flow,trustworthy,0,"('18', 'flow', 'trustworthy', '0')",72.12
330,25,vector,trustworthy,2,"('25', 'vector', 'trustworthy', '2')",78.15
331,5,vector,trustworthy,2,"('5', 'vector', 'trustworthy', '2')",60.19
332,30,flow,trustworthy,2,"('30', 'flow', 'trustworthy', '2')",60.59
333,3,vector,trustworthy,0,"('3', 'vector', 'trustworthy', '0')",50.27
334,11,flow,trustworthy,3,"('11', 'flow', 'trustworthy', '3')",55.23
335,4,vector,trustworthy,1,"('4', 'vector', 'trustworthy', '1')",40.75
336,2,flow,trustworthy,4,"('2', 'flow', 'trustworthy', '4')",52.95
337,23,vector,trustworthy,0,"('23', 'vector', 'trustworthy', '0')",41.29
338,21,flow,trustworthy,3,"('21', 'flow', 'trustworthy', '3')",50.27
339,44,vector,trustworthy,1,"('44', 'vector', 'trustworthy', '1')",53.75
340,46,vector,trustworthy,3,"('46', 'vector', 'trustworthy', '3')",49.46
341,19,flow,trustworthy,1,"('19', 'flow', 'trustworthy', '1')",46.78
342,0,flow,trustworthy,2,"('0', 'flow', 'trustworthy', '2')",50.4
343,26,vector,trustworthy,3,"('26', 'vector', 'trustworthy', '3')",50.94
