,features,rating,image,dim,level
399,"('26', 'vector', 'trustworthy', '4')",62.80821428571429,26,trustworthy,4
410,"('27', 'vector', 'attractive', '0')",31.16551724137931,27,attractive,0
411,"('27', 'vector', 'attractive', '1')",34.63066666666667,27,attractive,1
412,"('27', 'vector', 'attractive', '2')",30.56925,27,attractive,2
413,"('27', 'vector', 'attractive', '3')",33.601142857142854,27,attractive,3
414,"('27', 'vector', 'attractive', '4')",34.70351351351351,27,attractive,4
415,"('27', 'vector', 'trustworthy', '0')",39.84931034482759,27,trustworthy,0
416,"('27', 'vector', 'trustworthy', '1')",38.303,27,trustworthy,1
417,"('27', 'vector', 'trustworthy', '2')",40.365750000000006,27,trustworthy,2
418,"('27', 'vector', 'trustworthy', '3')",38.37942857142857,27,trustworthy,3
419,"('27', 'vector', 'trustworthy', '4')",36.733783783783785,27,trustworthy,4
430,"('28', 'vector', 'attractive', '0')",50.328717948717944,28,attractive,0
431,"('28', 'vector', 'attractive', '1')",51.919310344827586,28,attractive,1
432,"('28', 'vector', 'attractive', '2')",49.938,28,attractive,2
433,"('28', 'vector', 'attractive', '3')",55.13075,28,attractive,3
434,"('28', 'vector', 'attractive', '4')",54.60457142857143,28,attractive,4
435,"('28', 'vector', 'trustworthy', '0')",64.3625641025641,28,trustworthy,0
436,"('28', 'vector', 'trustworthy', '1')",63.42068965517242,28,trustworthy,1
437,"('28', 'vector', 'trustworthy', '2')",58.940333333333335,28,trustworthy,2
438,"('28', 'vector', 'trustworthy', '3')",62.060249999999996,28,trustworthy,3
439,"('28', 'vector', 'trustworthy', '4')",53.16028571428571,28,trustworthy,4
450,"('29', 'vector', 'attractive', '0')",47.56923076923077,29,attractive,0
451,"('29', 'vector', 'attractive', '1')",55.066153846153846,29,attractive,1
452,"('29', 'vector', 'attractive', '2')",56.157586206896546,29,attractive,2
453,"('29', 'vector', 'attractive', '3')",46.34533333333333,29,attractive,3
454,"('29', 'vector', 'attractive', '4')",49.46025,29,attractive,4
